,1_1_1,1_1_2,1_2_1,1_2_2,1_3_1,1_3_2,1_4_1,1_4_2,1_5_1,1_5_2,1_6_1,1_6_2,1_7_1,1_7_2,1_8_1,1_8_2
TBF1_407_470,5,3409,5229,5238,4464,8,1305,5339,5,288,6380,6243,1559,8,5,7
TDA9_57_120,7193,37,26,1618,25,11,21,2165,109,12507,14244,11577,22,30,16,25732
TEC1_132_195,12,65,14,18,13,1609,11,29,3984,20,2296,2040,28596,17286,17575,48545
TEC1_127_190,1,1,7551,1,1,3,3,2,1,3,7,1,1120,1,0,8
TIS11_151_214,5896,9626,37800,11666,8515,7228,4255,10659,3540,4825,17,27,39,1546,22,13
TIS11_189_252,7544,8,4419,2679,12,4385,12529,3782,2581,1459,13467,19860,530,7468,13,43
TIS11_153_216,19,37,20615,5851,7677,17431,11035,35052,13401,5330,1794,2191,15,23,13,16
TOD6_66_129,12,80,1151,3016,4,4421,7395,124,5,4,782,1635,13,2,3,3
TOD6_386_449,3840,4770,4763,1831,3089,648,1196,3615,122,3,3,3,1727,2,5,8
TOD6_69_132,31,5,281,300,316,7,93,1,203,5,3399,13020,9,5,3,4
TOS4_111_174,5,30,12,9,15,5,19,22,6,218,18,14,3072,17260,29113,4019
TOS4_112_175,21,46,23,31,22,39,26,44,297,202,12273,23,35423,13737,16059,114160
TOS4_115_178,0,0,0,346,0,0,3,0,0,0,1,1,1000,0,7,2
TOS8_200_263,0,0,981,1,1,1,8,1,0,1,2334,1,4,0,4,1
TOS8_196_259,0,211,0,0,0,854,0,10,0,0,2,900,4,0,0,0
TOS8_186_249,17299,15038,14459,20709,14909,22283,12220,1735,8211,2081,32,5919,40,29,28,17
TYE7_193_256,4375,11,12208,11902,12,6834,2783,22764,2466,357,1254,8,9,9,4,9
TYE7_198_261,1,6,5721,848,4,3113,548,8579,2262,3,566,2,2227,2,5,4
USV1_39_102,2,4,12240,203,1687,8575,507,7603,2311,1745,14,5,3,4,9,13
VHR1_31_94,2594,3,5,3,430,2,1499,2,11332,2,13,0,1,2,3,3
VHR2_37_100,0,2,0,0,0,0,1275,0,0,0,11,0,0,0,0,0
YAP1_54_117,8710,15942,9,2,1,1256,12,8,7,7,10,2,11,5,6,3
YAP1_63_126,2,10888,8458,11,8523,679,1812,5,7,8,3,3,4,3,2,2
YAP3_143_206,2760,2,2,1,0,1,5,1604,1,1,1,1,3,1,2,0
YAP5_57_120,1075,6,3,0,0,1369,2,0,0,0,1,1,0,2,1,1
YAP6_217_280,0,0,48,0,0,3,35,4869,1,0,1,1,675,1,2,1
YAP7_125_188,1,2,1761,1,1,0,4,0,1,487,1952,0,0,0,0,0
YAP7_26_89,0,0,1,0,0,13,1,11,0,0,0,0,0,0,0,0
YAP7_124_187,0,1,0,463,1,5,5,5,140,438,4,0,2,4,1,6228
YAP7_123_186,1,2,2,1,2,1,0,22,0,1,1388,2,13645,2,4,6
YHP1_170_233,0,0,1,0,0,1,7,1,1,0,0,1,0,0,0,0
YHP1_172_235,11,5,13,6553,1952,15346,7729,14415,2019,11,7,2204,8,11,10,7
YOX1_173_236,1,3,0,0,1,529,658,4562,410,2,1409,1447,174,4,1,1
YOX1_175_238,0,1,1,0,0,2,1,0,7,2,7,1,1,3388,0,0
YOX1_172_235,8,13,18,8,4980,14,10178,4507,4684,8763,10199,7047,3764,13680,13512,20
YPL216W_369_432,14,42,28,17,2504,24,18,13373,5419,23,27832,22684,27700,24287,13591,6880
YPL216W_44_107,12,39,10044,1161,10475,1611,5935,4461,3728,2445,7685,1810,22,25,13,37221
YPL216W_373_436,4,1,3,4,1,2,2,4,5,6,0,3,4,1007,527,17497
ZAP1_688_751,0,2,4,0,7,4,8067,5,392,1,3154,3207,1028,3,2,2
ZAP1_598_661,4,8,8,3,0,8,7,3,5024,5,5890,4068,3,3,2,3
ZAP1_747_810,3753,1,1,0,5,0,3,0,0,1,10,1,242,13,0,0
ZAP1_775_838,9,2203,19,9072,4887,5027,12981,4294,6778,10441,8950,4039,13632,13321,13,7462
ZAP1_804_867,19,3,5,5,3,7,7,198,484,9,14134,7,7980,7462,1,6
ZAP1_560_623,2,2,3,0,0,1,3,17,2910,0,4920,585,2,2,3,4
ZAP1_597_660,7,15,7,44,417,5,7,3,108,1905,8234,13075,465,20933,9,32
ZAP1_686_749,66679,26595,30884,22902,25669,34864,30182,21466,9096,4059,69,52,46,35,46,53
ZAP1_718_781,3590,7832,2943,18633,21152,24852,25914,9152,15054,2068,6780,11014,33,9703,30,51
ZAP1_803_866,1869,13,12,880,15496,4405,3614,15,14638,209,4059,2204,30,17,20,11
ZAP1_734_797,107406,26497,33628,11433,11884,15626,7562,10485,1388,751,36,25,38,38,27,50
ZAP1_773_836,0,13,6,1296,17,1143,17,435,564,512,4830,910,8966,3,4,3
